filename, n_bodies, n_steps, n_threads, version, time, n_procs
openmp, 10000, 1000, 16, 5, 145.905777, 1
openmp, 10000, 1000, 24, 5, 155.063354, 1
openmp, 10000, 1000, 8, 6, 207.393112, 1
openmp, 10000, 1000, 16, 6, 146.185593, 1
openmp, 10000, 1000, 24, 6, 152.530304, 1
openmp, 10000, 1000, 8, 7, 201.845276, 1
openmp, 10000, 1000, 16, 7, 149.634521, 1
openmp, 10000, 1000, 24, 7, 138.567444, 1
openmp, 10000, 1000, 8, 8, 237.945969, 1
openmp, 10000, 1000, 16, 8, 149.879028, 1
openmp, 10000, 1000, 24, 8, 126.078201, 1
openmp, 10000, 1000, 8, 9, 239.397476, 1
